INFO 2025-09-24 18:00:39,663 autoreload 19484 1340 Watching for file changes with StatReloader
INFO 2025-09-25 08:05:50,833 basehttp 14248 40756 "GET /admin/ HTTP/1.1" 200 8206
INFO 2025-09-25 08:05:54,002 basehttp 14248 40756 "GET /admin/users/user/ HTTP/1.1" 200 14178
INFO 2025-09-25 08:05:54,074 basehttp 14248 40756 "GET /admin/jsi18n/ HTTP/1.1" 200 8876
INFO 2025-09-25 08:15:24,999 basehttp 14248 24248 "OPTIONS /api/auth/login HTTP/1.1" 200 0
ERROR 2025-09-25 08:15:25,103 log 14248 24248 Internal Server Error: /api/auth/login
Traceback (most recent call last):
  File "C:\Users\brunom3175_00\Downloads\Sinalizado_Digital\backend\venv\Lib\site-packages\django\core\handlers\exception.py", line 55, in inner
    response = get_response(request)
  File "C:\Users\brunom3175_00\Downloads\Sinalizado_Digital\backend\venv\Lib\site-packages\django\utils\deprecation.py", line 136, in __call__
    response = self.process_response(request, response)
  File "C:\Users\brunom3175_00\Downloads\Sinalizado_Digital\backend\venv\Lib\site-packages\django\middleware\common.py", line 108, in process_response
    return self.response_redirect_class(self.get_full_path_with_slash(request))
                                        ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^
  File "C:\Users\brunom3175_00\Downloads\Sinalizado_Digital\backend\venv\Lib\site-packages\django\middleware\common.py", line 87, in get_full_path_with_slash
    raise RuntimeError(
    ...<9 lines>...
    )
RuntimeError: You called this URL via POST, but the URL doesn't end in a slash and you have APPEND_SLASH set. Django can't redirect to the slash URL while maintaining POST data. Change your form to point to localhost:8000/api/auth/login/ (note the trailing slash), or set APPEND_SLASH=False in your Django settings.
ERROR 2025-09-25 08:15:25,122 basehttp 14248 24248 "POST /api/auth/login HTTP/1.1" 500 78479
INFO 2025-09-25 08:15:41,968 basehttp 14248 31036 "GET /admin/users/user/2/change/ HTTP/1.1" 200 26072
